Date,Close
5/1/2018 16:00:00,130.82
5/2/2018 16:00:00,130.31
5/3/2018 16:00:00,129.12
5/4/2018 16:00:00,130.2
5/7/2018 16:00:00,129.93
5/8/2018 16:00:00,131.04
5/9/2018 16:00:00,130.6
5/10/2018 16:00:00,130.18
5/11/2018 16:00:00,129.28
5/14/2018 16:00:00,127.13
5/15/2018 16:00:00,127.46
5/16/2018 16:00:00,128.81
5/17/2018 16:00:00,129.48
5/18/2018 16:00:00,130.8
5/21/2018 16:00:00,130.18
5/22/2018 16:00:00,129.75
5/23/2018 16:00:00,130.1
5/24/2018 16:00:00,130.95
5/25/2018 16:00:00,130.72
5/29/2018 16:00:00,129.27
5/30/2018 16:00:00,132.24
5/31/2018 16:00:00,129.57
6/1/2018 16:00:00,130.42
6/4/2018 16:00:00,131.12
6/5/2018 16:00:00,131.31
6/6/2018 16:00:00,131.78
6/7/2018 16:00:00,129.9
6/8/2018 16:00:00,129.96
6/11/2018 16:00:00,131.09
6/12/2018 16:00:00,132.52
6/13/2018 16:00:00,132.72
6/14/2018 16:00:00,133.16
6/15/2018 16:00:00,134.74
6/18/2018 16:00:00,135.78
6/19/2018 16:00:00,135.5
6/20/2018 16:00:00,135
6/21/2018 16:00:00,132.46
6/22/2018 16:00:00,131.15
6/25/2018 16:00:00,128.76
6/26/2018 16:00:00,129.61
6/27/2018 16:00:00,125.06
6/28/2018 16:00:00,127.3
6/29/2018 16:00:00,127.75
7/2/2018 16:00:00,129.63
7/3/2018 13:00:00,131.76
7/5/2018 16:00:00,134.05
7/6/2018 16:00:00,134.88
7/9/2018 16:00:00,135.12
7/10/2018 16:00:00,134.92
7/11/2018 16:00:00,134.26
7/12/2018 16:00:00,136.31
7/13/2018 16:00:00,135.83
7/16/2018 16:00:00,135.3
7/17/2018 16:00:00,134.88
7/18/2018 16:00:00,135.83
7/19/2018 16:00:00,137.54
7/20/2018 16:00:00,135.29
7/23/2018 16:00:00,134.2
7/24/2018 16:00:00,133.32
7/25/2018 16:00:00,135.27
7/26/2018 16:00:00,137.38
7/27/2018 16:00:00,129.16
7/30/2018 16:00:00,127.93
7/31/2018 16:00:00,130.15
8/1/2018 16:00:00,132.31
8/2/2018 16:00:00,136.55
8/3/2018 16:00:00,134.89
8/6/2018 16:00:00,137.17
8/7/2018 16:00:00,137.86
8/8/2018 16:00:00,137.97
8/9/2018 16:00:00,139.75
8/10/2018 16:00:00,141.46
8/13/2018 16:00:00,140.78
8/14/2018 16:00:00,142.15
8/15/2018 16:00:00,140.57
8/16/2018 16:00:00,141.07
8/17/2018 16:00:00,139.53
8/20/2018 16:00:00,140.92
8/21/2018 16:00:00,141.07
8/22/2018 16:00:00,141.56
8/23/2018 16:00:00,141.79
8/24/2018 16:00:00,149.67
8/27/2018 16:00:00,146.93
8/28/2018 16:00:00,147.84
8/29/2018 16:00:00,147.8
8/30/2018 16:00:00,147.18
8/31/2018 16:00:00,149
9/4/2018 16:00:00,147.75
9/5/2018 16:00:00,144.84
9/6/2018 16:00:00,144.81
9/7/2018 16:00:00,144.54
9/10/2018 16:00:00,146.77
9/11/2018 16:00:00,147.8
9/12/2018 16:00:00,148.89
9/13/2018 16:00:00,147.69
9/14/2018 16:00:00,149.13
9/17/2018 16:00:00,147.1
9/18/2018 16:00:00,149.96
9/19/2018 16:00:00,147.81
9/20/2018 16:00:00,147.65
9/21/2018 16:00:00,148.12
9/24/2018 16:00:00,147.38
9/25/2018 16:00:00,146.81
9/26/2018 16:00:00,141.41
9/27/2018 16:00:00,140.54
9/28/2018 16:00:00,140.62
10/1/2018 16:00:00,136.47
10/2/2018 16:00:00,132.49
10/3/2018 16:00:00,133.48
10/4/2018 16:00:00,131.7
10/5/2018 16:00:00,131.2
10/8/2018 16:00:00,130.84
10/9/2018 16:00:00,130.71
10/10/2018 16:00:00,126.72
10/11/2018 16:00:00,126.8
10/12/2018 16:00:00,127.28
10/15/2018 16:00:00,128.01
10/16/2018 16:00:00,131.15
10/17/2018 16:00:00,130.54
10/18/2018 16:00:00,128.27
10/19/2018 16:00:00,126.48
10/22/2018 16:00:00,127.58
10/23/2018 16:00:00,126.87
10/24/2018 16:00:00,121.25
10/25/2018 16:00:00,123.25
10/26/2018 16:00:00,122.49
10/29/2018 16:00:00,121.71
10/30/2018 16:00:00,124.04
10/31/2018 16:00:00,125.97
11/1/2018 16:00:00,125.63
11/2/2018 16:00:00,126.73
11/5/2018 16:00:00,126.64
11/6/2018 16:00:00,126.33
